id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
1070078,1305201,6500,6500,6500,60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1070078,"Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-1998,2,,,14,0,4032,20.6,23,f,0,0,7677.52,7677.52,6500,1177.52,0,0,0,Jun-2013,1655.54,,Dec-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069908,1305008,12000,12000,12000,36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069908,,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-1989,0,,,12,0,23336,67.1,34,f,0,0,13943.08,13943.08,12000,1943.08,0,0,0,Sep-2013,6315.3,,Aug-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064687,1298717,9000,9000,9000,36 months,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,Dec-2011,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1064687,Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,245xx,VA,10.08,0,Apr-2004,1,,,4,0,10452,91.7,9,f,0,0,2270.7,2270.7,1256.14,570.26,0,444.3,4.16,Jul-2012,305.38,,Nov-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069866,1304956,3000,3000,3000,36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069866,"Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>",credit_card,citicard fund,606xx,IL,12.56,0,Jul-2003,2,,,11,0,7323,43.1,11,f,0,0,3478.98191538,3478.98,3000,478.98,0,0,0,Jan-2015,102.43,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069057,1303503,10000,10000,10000,36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,Dec-2011,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069057,,other,Other Loan,951xx,CA,7.06,0,May-1991,2,,,14,0,11997,55.5,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,Oct-2013,325.74,,Mar-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069759,1304871,1000,1000,1000,36 months,16.29,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069759,,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,Sep-2007,1,,,11,0,6524,81.5,23,f,0,0,1270.1711062,1270.17,1000,270.17,0,0,0,Jan-2015,36.32,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1065775,1299699,10000,10000,10000,36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1065775,,home_improvement,Home,921xx,CA,18.6,0,Oct-1998,2,61,,14,0,24043,70.2,28,f,0,0,12519.2604496,12519.26,10000,2519.26,0,0,0,Jan-2015,370.46,,Apr-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1069971,1304884,3600,3600,3600,36 months,6.03,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069971,Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>,major_purchase,Holiday,067xx,CT,10.52,0,Aug-1993,0,,,20,0,22836,16,42,f,0,0,3785.02,3785.02,3600,185.02,0,0,0,May-2013,583.45,,May-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1062474,1294539,6000,6000,6000,36 months,11.71,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,Dec-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1062474,Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>,medical,Medical,890xx,UT,18.44,2,Oct-2003,0,8,,4,0,0,37.73,14,f,0,0,7164.4998522,7164.5,6000,1149.5,15,0,0,Feb-2015,16.98,,Jul-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
